ATB ID,solvent,value,reported_error,ref,datasets,formula,inchi
1206,water,-26.19,0.84,http://comp.chem.umn.edu/mnsol/,"Boulanger et al.,Marenich et al.,Mobley et al.",H4N2,"InChI=1S/H4N2/c1-2/h1-2H2"
1208,water,-9.62,2.51,10.1021/ct050097l,"Boulanger et al.,Marenich et al.,Mobley et al.,Shivakumar et al.",C6H4Br2,"InChI=1S/C6H4Br2/c7-5-1-2-6(8)4-3-5/h1-4H"
1210,water,-23.93,2.51,10.1021/ct050097l,"Dodda et al.,Marenich et al.,Boulanger et al.,Mobley et al.",C9H7N,"InChI=1S/C9H8N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-8H"
1211,water,2.18,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Shivakumar et al.",C2HBrF4,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H/t1-/m1/s1"
1212,water,-36.99,0.84,10.1021/jm070549+,"Boulanger et al.,Marenich et al.,Mobley et al.",C9H14O6,"InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3"
1254,water,-32.09,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C10H8O,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H"
1255,water,-19.04,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C6H5ClO,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
1256,water,-22.13,2.51,10.1021/ct050097l,"Mobley et al.,Boulanger et al.,Dodda et al.",C6H5FO,"InChI=1S/C6H5FO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
1257,water,-30.84,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.",C6H6N2O2,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2"
1258,water,-24.69,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C6H6ClN,"InChI=1S/C6H6ClN/c7-5-1-3-6(8)4-2-5/h1-4H,8H2"
1259,water,-42.57,None,10.1007/bf00646936,"Dodda et al.,Gerber,Mobley et al.",C7H5NO,"InChI=1S/C7H5NO/c8-5-6-1-3-7(9)4-2-6/h1-4,9H"
1260,water,-25.19,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.",C6H4N2,"InChI=1S/C6H5N2/c7-5-6-1-3-8-4-2-6/h1,3-4H,2H2"
1262,water,-17.61,None,10.1021/acs.jpcb.7b00272,"Boulanger et al.,Dodda et al.,Mobley et al.,Shivakumar et al.,Marenich et al.",C7H5N,"InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H"
1263,water,-21.34,2.51,10.1139/v78-385,"Boulanger et al.,Mobley et al.",C2H6O4S,"InChI=1S/C2H6O4S/c1-5-7(3,4)6-2/h1-2H3"
1266,water,-5.19,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Mobley et al.",C8H8,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
1269,water,-3.26,0.84,http://comp.chem.umn.edu/mnsol/,"Boulanger et al.,Mobley et al.,Dodda et al.,Marenich et al.",C6H5F,"InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H"
1307,water,-4.48,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Shivakumar et al.,Boulanger et al.,Dodda et al.,Marenich et al.",CHCl3,"InChI=1S/CHCl3/c2-1(3)4/h1H"
1395,water,-17.95,0.84,http://comp.chem.umn.edu/mnsol/,"Boulanger et al.,Marenich et al.,Mobley et al.",H3N,"InChI=1S/H3N/h1H3"
1527,water,-45.7,None,10.1002/jcc.10052,"Shivakumar et al.",C4H11N3,"InChI=1S/C4H12N3/c1-2-3-7-4(5)6/h7H,2-3,5-6H2,1H3"
1629,water,4.48,0.84,10.1021/jm070549+,"Marenich et al.,Mobley et al.",C8H4F6,"InChI=1S/C8H4F6/c9-7(10,11)5-2-1-3-6(4-5)8(12,13)14/h1-4H"
1630,water,-46.07,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C10H13NO2,"InChI=1S/C10H13NO2/c1-11(2)10(12)8-4-6-9(13-3)7-5-8/h4-7H,1-3H3"
1631,water,-40.84,0.84,10.1021/jm070549+,"Mobley et al.,Marenich et al.",C10H13NO,"InChI=1S/C10H13NO/c1-8-4-6-9(7-5-8)10(12)11(2)3/h4-7H,1-3H3"
1633,water,-20.79,0.84,http://comp.chem.umn.edu/mnsol/,"Boulanger et al.,Marenich et al.,Mobley et al.",C6H10O4,"InChI=1S/C6H10O4/c1-4(7)9-6(3)10-5(2)8/h6H,1-3H3"
1634,water,-17.7,0.84,10.1021/jm070549+,"Marenich et al.,Mobley et al.",C4H8Cl2O,"InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2"
1637,water,-15.98,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C7H6O2,"InChI=1S/C7H6O2/c8-6-9-7-4-2-1-3-5-7/h1-6H"
1848,water,-69.41,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C4H4N2O2,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)"
1850,water,-74.22,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C4H3ClN2O2,"InChI=1S/C4H3ClN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
1851,water,-70.79,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C4H3FN2O2,"InChI=1S/C4H3FN2O2/c5-2-1-6-4(9)7-3(2)8/h1H,(H2,6,7,8,9)"
1853,water,-64.68,0.67,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C5H3F3N2O2,"InChI=1S/C5H3F3N2O2/c6-5(7,8)2-1-9-4(12)10-3(2)11/h1H,(H2,9,10,11,12)"
1855,water,-75.56,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C3H3N3O3,"InChI=1S/C3H3N3O3/c7-1-4-2(8)6-3(9)5-1/h(H3,4,5,6,7,8,9)"
1856,water,-52.89,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C8H10N4O2,"InChI=1S/C8H11N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4-5H,1-3H3"
1861,water,-41.59,0.75,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C9H8O4,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)"
1862,water,-39.33,0.84,10.1007/s10822-010-9350-8,"Mobley et al.,Marenich et al.",C13H8F2O3,"InChI=1S/C13H8F2O3/c14-8-2-3-9(11(15)6-8)7-1-4-12(16)10(5-7)13(17)18/h1-6,16H,(H,17,18)"
1863,water,-42.72,0.75,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C14H14O3,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1"
1864,water,-40.21,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.",C8H5NO2,"InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)8(11)9-7/h1-4H,(H,9,10,11)"
1866,water,-36.02,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C4H8O2S,"InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2"
1868,water,-2.68,0.42,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.,Shivakumar et al.",C2Cl6,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8"
1874,water,-29.3,2.7,10.1007/s10822-014-9747-x,"",C13H18O2,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)/t10-/m1/s1"
1877,water,-21.84,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.",C6Cl5NO2,"InChI=1S/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9"
1911,water,-7.6,0.4,10.1021/jp806724u,"SAMPL1",C4H9NO3,"InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3/t4-/m1/s1"
1922,water,-14.4,0.4,10.1021/jp806724u,"SAMPL1",C10H6Cl8,"InChI=1S/C10H6Cl8/c11-3-1-2-4(5(3)12)9(16)7(14)6(13)8(2,15)10(9,17)18/h2-5H,1H2/t2-,3+,4-,5-,8+,9-/m0/s1"
1931,water,-17.7,1.1,10.1021/jp806724u,"SAMPL1",C9H6Cl6O3S,"InChI=1S/C9H6Cl6O3S/c10-5-6(11)8(13)4-2-18-19(16)17-1-3(4)7(5,12)9(8,14)15/h3-4H,1-2H2/t3-,4+,7+,8-,19+"
1932,water,-20.2,0.4,10.1021/jp806724u,"SAMPL1",C12H8Cl6O,"InChI=1S/C12H8Cl6O/c13-8-9(14)11(16)5-3-1-2(6-7(3)19-6)4(5)10(8,15)12(11,17)18/h2-7H,1H2/t2-,3+,4+,5-,6+,7-,10-,11+"
1969,water,-35.9,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",H2O2,"InChI=1S/H2O2/c1-2/h1-2H"
1975,water,14.35,0.13,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C4F8,"InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10"
1976,water,-3.35,0.84,10.1007/s10822-010-9350-8,"Marenich et al.,Mobley et al.",C5H9F3O3,"InChI=1S/C5H9F3O3/c1-9-5(10-2,11-3)4(6,7)8/h1-3H3"
1983,water,-34.1,0.9,10.1021/jp806724u,"SAMPL1",C10H19O6PS2,"InChI=1S/C10H21O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8,17-18H,5-7H2,1-4H3/t8-/m0/s1"
2027,water,-43.01,None,10.1021/acs.jpcb.7b00272,"Mobley et al.,Dodda et al.,Marenich et al.",C6H6N2O2,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2"
2589,water,13.22,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.",C10H22,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3"
2802,water,-1.05,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Boulanger et al.,Mobley et al.,Dodda et al.,Shivakumar et al.",C2H3Cl3,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3"
2803,water,-8.33,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Shivakumar et al.,Dodda et al.,Marenich et al.",C2H3Cl3,"InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
2804,water,-5.98,0.42,10.1007/s10822-012-9568-8,"Mobley et al.,Marenich et al.,Boulanger et al.,Dodda et al.",C2H2Cl4,"InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2"
2805,water,-10.33,None,10.1021/acs.jpcb.7b00272,"Dodda et al.,Mobley et al.,Boulanger et al.",C2H2Cl4,"InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H"
2806,water,-5.15,0.42,10.1007/s10822-012-9568-8,"Dodda et al.,Boulanger et al.,Mobley et al.",C2HCl5,"InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H"
2808,water,-10.29,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H8Cl2,"InChI=1S/C12H8Cl2/c13-10-6-7-12(14)11(8-10)9-4-2-1-3-5-9/h1-8H"
2809,water,-9.04,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H7Cl3,"InChI=1S/C12H7Cl3/c13-9-6-10(14)12(11(15)7-9)8-4-2-1-3-5-8/h1-7H"
2811,water,-9.54,0.5,10.1007/s10822-012-9568-8,"Mobley et al.",C12H6Cl4,"InChI=1S/C12H6Cl4/c13-7-3-1-4-8(14)11(7)12-9(15)5-2-6-10(12)16/h1-6H"
2812,water,-15.1,0.54,10.1007/s10822-012-9568-8,"Mobley et al.",C12H5Cl5,"InChI=1S/C12H5Cl5/c13-7-1-2-9(14)8(5-7)6-3-10(15)12(17)11(16)4-6/h1-5H"
2813,water,-8.2,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H5Cl5,"InChI=1S/C12H5Cl5/c13-6-4-9(16)12(10(17)5-6)11-7(14)2-1-3-8(11)15/h1-5H"
2814,water,-18.33,0.92,10.1007/s10822-012-9568-8,"Mobley et al.",C12H4Cl6,"InChI=1S/C12H4Cl6/c13-6-2-1-5(3-7(6)14)10-11(17)8(15)4-9(16)12(10)18/h1-4H"
2815,water,-12.72,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H4Cl6,"InChI=1S/C12H4Cl6/c13-7-2-1-5(3-8(7)14)6-4-9(15)11(17)12(18)10(6)16/h1-4H"
2816,water,-18.41,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H3Cl7,"InChI=1S/C12H3Cl7/c13-6-2-1-4(8(15)10(6)17)5-3-7(14)11(18)12(19)9(5)16/h1-3H"
2817,water,-13.26,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H3Cl7,"InChI=1S/C12H3Cl7/c13-6-1-4(2-7(14)10(6)17)5-3-8(15)11(18)12(19)9(5)16/h1-3H"
2818,water,-19.29,1.05,10.1007/s10822-012-9568-8,"Mobley et al.",C12H2Cl8,"InChI=1S/C12H2Cl8/c13-4-2-6(15)9(17)11(19)7(4)3-1-5(14)10(18)12(20)8(3)16/h1-2H"
2821,water,-13.18,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H8O2,"InChI=1S/C12H8O2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H"
2822,water,-14.73,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H7ClO2,"InChI=1S/C12H7ClO2/c13-8-4-3-7-11-12(8)15-10-6-2-1-5-9(10)14-11/h1-7H"
2825,water,-15.36,0.5,10.1007/s10822-012-9568-8,"Mobley et al.",C12H6Cl2O2,"InChI=1S/C12H6Cl2O2/c13-7-1-3-9-11(5-7)16-10-4-2-8(14)6-12(10)15-9/h1-6H"
2827,water,-15.94,0.59,10.1007/s10822-012-9568-8,"Mobley et al.",C12H4Cl4O2,"InChI=1S/C12H4Cl4O2/c13-7-8(14)10(16)12-11(9(7)15)17-5-3-1-2-4-6(5)18-12/h1-4H"
2905,water,-9.96,0.84,10.1021/jm070549+,"Marenich et al.,Boulanger et al.,Mobley et al.",C7H7Br,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2"
2906,water,-8.08,0.84,10.1021/jm070549+,"Marenich et al.,Mobley et al.",C7H7Cl,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2"
3162,water,13.22,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.",CF4,"InChI=1S/CF4/c2-1(3,4)5"
3164,water,7.07,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",CCl2F2,"InChI=1S/CCl2F2/c2-1(3,4)5"
3165,water,3.43,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",CCl3F,"InChI=1S/CCl3F/c2-1(3,4)5"
3166,water,7.41,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Boulanger et al.,Shivakumar et al.",C2Cl3F3,"InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8"
3167,water,-0.54,0.84,http://comp.chem.umn.edu/mnsol/,"Shivakumar et al.,Marenich et al.",C2HBrClF3,"InChI=1S/C2HBrClF3/c3-1(4)2(5,6)7/h1H/t1-/m1/s1"
3168,water,7.49,2.51,10.1021/ct050097l,"Boulanger et al.,Shivakumar et al.,Mobley et al.,Marenich et al.",CBrF3,"InChI=1S/CBrF3/c2-1(3,4)5"
3169,water,-5.69,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Shivakumar et al.,Dodda et al.,Boulanger et al.,Mobley et al.",CH2Cl2,"InChI=1S/CH2Cl2/c2-1-3/h1H2"
3170,water,-1.38,2.51,10.1021/ct050097l,"Marenich et al.,Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.",C3H7Cl,"InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3"
3171,water,-1.05,2.51,10.1021/ct050097l,"Shivakumar et al.,Dodda et al.,Mobley et al.,Marenich et al.,Boulanger et al.",C3H7Cl,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3"
3172,water,-4.9,2.51,10.1021/ct050097l,"Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.",C2H2Cl2,"InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1-"
3174,water,-1.63,0.84,http://comp.chem.umn.edu/mnsol/,"Shivakumar et al.,Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.",C2HCl3,"InChI=1S/C2HCl3/c3-1-2(4)5/h1H"
3175,water,0.42,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Shivakumar et al.,Dodda et al.,Boulanger et al.",C2Cl4,"InChI=1S/C2Cl4/c3-1(4)2(5)6"
3176,water,-4.69,2.51,10.1021/ct050097l,"Mobley et al.,Shivakumar et al.,Boulanger et al.,Dodda et al.,Marenich et al.",C6H5Cl,"InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H"
3177,water,-3.43,2.51,10.1021/ct050097l,"Boulanger et al.,Shivakumar et al.,Mobley et al.,Marenich et al.,Dodda et al.",CH3Br,"InChI=1S/CH3Br/c1-2/h1H3"
3178,water,-8.83,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Shivakumar et al.",CH2Br2,"InChI=1S/CH2Br2/c2-1-3/h1H2"
3179,water,-8.91,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Shivakumar et al.,Marenich et al.,Mobley et al.",CHBr3,"InChI=1S/CHBr3/c2-1(3)4/h1H"
3180,water,-3.1,2.51,10.1021/ct050097l,"Dodda et al.,Marenich et al.,Mobley et al.,Shivakumar et al.",C2H5Br,"InChI=1S/C2H5Br/c1-2-3/h2H2,1H3"
3181,water,-2.34,2.51,10.1021/ct050097l,"Mobley et al.,Marenich et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.",C3H7Br,"InChI=1S/C3H7Br/c1-2-3-4/h2-3H2,1H3"
3182,water,-2.01,2.51,10.1021/ct050097l,"Shivakumar et al.,Boulanger et al.,Dodda et al.,Marenich et al.,Mobley et al.",C3H7Br,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3"
3186,water,-0.42,0.84,10.1039/P29900000291,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Shivakumar et al.",C5H11Br,"InChI=1S/C5H11Br/c1-2-3-4-5-6/h2-5H2,1H3"
3187,water,-3.6,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C3H5Br,"InChI=1S/C3H5Br/c1-2-3-4/h2H,1,3H2"
3188,water,-6.11,2.51,10.1021/ct050097l,"Shivakumar et al.,Dodda et al.,Marenich et al.,Mobley et al.",C6H5Br,"InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H"
3189,water,-5.82,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Dodda et al.,Boulanger et al.,Mobley et al.",C7H7Br,"InChI=1S/C7H7Br/c1-6-2-4-7(8)5-3-6/h2-5H,1H3"
3199,water,-15.23,2.51,10.1021/ct050097l,"Dodda et al.,Marenich et al.,Mobley et al.",C10H22O,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
3200,water,-29.83,0.84,http://comp.chem.umn.edu/mnsol/,"Dodda et al.,Shivakumar et al.,Marenich et al.,Mobley et al.",C6H5BrO,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
3348,water,-3.77,2.51,10.1021/ct050097l,"Marenich et al.,Dodda et al.,Boulanger et al.,Mobley et al.",C9H12,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3"
3349,water,-5.06,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C9H12,"InChI=1S/C9H12/c1-7-5-4-6-8(2)9(7)3/h4-6H,1-3H3"
3596,water,-19.62,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.",C7H9N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3"
3613,water,-2.93,2.51,10.1021/ct050097l,"Marenich et al.,Mobley et al.,Shivakumar et al.",H2S,"InChI=1S/H2S/h1H2"
3619,water,-22.97,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Boulanger et al.,Marenich et al.,Dodda et al.,Gerber,Shivakumar et al.",C6H7N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2"
3791,water,-2.34,0.84,http://comp.chem.umn.edu/mnsol/,"Boulanger et al.,Dodda et al.,Mobley et al.,Marenich et al.,Shivakumar et al.",CH3Cl,"InChI=1S/CH3Cl/c1-2/h1H3"
3793,water,0.29,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C5H11Cl,"InChI=1S/C5H11Cl/c1-3-4-5(2)6/h5H,3-4H2,1-2H3/t5-/m1/s1"
3794,water,-5.61,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.",C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-2-4(8)6(10)5(3)9/h1-2H"
3795,water,-6.78,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.",C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)5(9)2-3/h1-2H"
3797,water,-5.61,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.",C6H2Cl4,"InChI=1S/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H"
3798,water,-4.69,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-1-2-5(8)6(9)3-4/h1-3H"
3799,water,-3.26,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Mobley et al.",C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-1-5(8)3-6(9)2-4/h1-3H"
3800,water,0.33,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Shivakumar et al.,Marenich et al.,Mobley et al.",CCl4,"InChI=1S/CCl4/c2-1(3,4)5"
3801,water,-5.31,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C3H6Cl2,"InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3/t3-/m0/s1"
3802,water,-4.1,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C6H4Cl2,"InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H"
3804,water,-9.71,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C4H8Cl2,"InChI=1S/C4H8Cl2/c5-3-1-2-4-6/h1-4H2"
3805,water,4.56,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.",C4H9Cl,"InChI=1S/C4H9Cl/c1-4(2,3)5/h1-3H3"
3808,water,-0.67,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C4H9Cl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3"
3809,water,-0.42,0.84,10.1039/P29900000291,"Marenich et al.,Dodda et al.,Boulanger et al.,Mobley et al.",C5H11Cl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3"
3810,water,0.0,2.51,10.1007/s10822-014-9747-x,"Dodda et al.,Mobley et al.",C6H13Cl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3"
3811,water,1.21,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C7H15Cl,"InChI=1S/C7H15Cl/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
3813,water,-5.19,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.",C6H3Cl3,"InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H"
3855,water,-12.97,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H7ClO2,"InChI=1S/C12H7ClO2/c13-8-5-6-11-12(7-8)15-10-4-2-1-3-9(10)14-11/h1-7H"
3857,water,-16.95,0.42,10.1007/s10822-012-9568-8,"Mobley et al.",C12H5Cl3O2,"InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H"
4026,water,-25.9,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.,Boulanger et al.",C6H5FO,"InChI=1S/C6H5FO/c7-5-1-3-6(8)4-2-5/h1-4,8H"
4027,water,16.48,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C2F6,"InChI=1S/C2F6/c3-1(4,5)2(6,7)8"
4028,water,17.91,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.",C3F8,"InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11"
4054,water,0.75,2.51,10.1021/ct050097l,"Dodda et al.,Mobley et al.,Boulanger et al.",C6H13Br,"InChI=1S/C6H13Br/c1-2-3-4-5-6-7/h2-6H2,1H3"
4055,water,1.42,2.51,10.1021/ct050097l,"Boulanger et al.,Dodda et al.,Mobley et al.",C7H15Br,"InChI=1S/C7H15Br/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
4056,water,2.18,2.51,10.1021/ct050097l,"Dodda et al.,Boulanger et al.,Mobley et al.",C8H17Br,"InChI=1S/C8H17Br/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3"
4057,water,3.51,2.51,10.1021/ct050097l,"Boulanger et al.,Mobley et al.,Dodda et al.",C4H9Br,"InChI=1S/C4H9Br/c1-4(2,3)5/h1-3H3"
4059,water,-0.13,0.84,http://comp.chem.umn.edu/mnsol/,"Marenich et al.,Mobley et al.,Boulanger et al.,Dodda et al.",C4H9Br,"InChI=1S/C4H9Br/c1-4(2)3-5/h4H,3H2,1-2H3"
4389,water,-41.05,0.84,http://comp.chem.umn.edu/mnsol/,"Mobley et al.,Marenich et al.,Gerber",C3H4N2,"InChI=1S/C3H5N2/c1-2-5-3-4-1/h1,3,5H,2H2"
4621,water,-18.03,2.51,10.1039/F19736901577,"Marenich et al.,Mobley et al.,Dodda et al.,Boulanger et al.,Shivakumar et al.",C2H3F3O,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2"
5441,water,-27.7,2.51,10.1021/ct050097l,"Dodda et al.,Marenich et al.,Mobley et al.,Boulanger et al.",C7H8O,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2"
